ItemNumber,Giro,Genero,Articulo,Material_o_Especificaciones,Attr_o_Gauge,Medida,MedidaAd,Color,Distribuidora,Empaque,Precio,MinOrder,TermEntrega,TermPago,CodSinDist,CodConDist
529,3,5,Corta Frío,C/FRIO 5/8,C/PROTEC,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2638,3,5,Corta Frío,C/FRIO 5/8,C5/8X10,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4575,3,5,Corta Frío,C/FRIO 5/8,C5/8X12,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2636,3,5,Corta Frío,C/FRIO 5/8,C5/8X6,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2637,3,5,Corta Frío,C/FRIO 5/8,C5/8X8,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4669,3,5,Corta Frío,C/FRIO 7/8,12154,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4701,3,5,Corta Frío,C/FRIO 7/8,12157,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4062,3,5,Corta Frío,C/FRIO 7/8 C/PROT,12274,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4069,3,5,Corta Frío,C/FRIO 7/8 C/PROT,12277,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4974,3,5,Corta Frío,C/FRIO FLAT,,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4972,3,5,Corta Frío,C/FRIO FLAT,CL-31/2,3 1/2-8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5087,3,5,Corta Frío,C/FRIO FLAT C/PROT,12187,CL23410G,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5093,3,5,Corta Frío,C/FRIO FLAT C/PROT,12193,CL31/2X8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4416,3,5,Corta Frío,C/FRIOS SET,117193,6 PC,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
664,3,5,Chalk Line,C/LINE 100 ALUM,11013,100,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1747,3,5,Chalk Line,C/LINE 50 ALUM,11010,50,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5070,3,5,Chalk Line,C/LINE ALUM,TW,50,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
662,3,5,Chalk Line,C/LINE SET BLUE,11081,100,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1979,3,5,Chalk Line,C/LINE SET BLUE,TL-100,100,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5069,3,5,Chalk Line,C/LINE SET BLUE,TL-50P,50,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
661,3,5,Chalk Line,C/LINE SET BLUE SURT,130561,100 MET,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
663,3,5,Chalk Line,C/LINE SET BLUE SURT,130569,100 PLA,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
667,3,5,Chalk Line,C/LINE SET PLAST,142612,50,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
669,3,5,Chalk Line,C/LINE SET PLAST,TW,100,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4073,3,7,Cable,CABLE ARNES 6.5,14436,CAB54892,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4105,3,7,Cable,CABLE ARNES C/SHOCK,14446,CAB-5430,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1826,3,7,Cable,CABLE BLANCO 12/2 10,40044,CDU12300,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
657,3,7,Cable,CABLE DUPLEX 18/2,AMARILLO,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
658,3,7,Cable,CABLE DUPLEX 18/2,CL,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1774,3,7,Cable,CABLE DUPLEX 18/2,GOLD,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5366,3,1,Sujetacables,CABLE TIES,BLANCO,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6441,3,1,Sujetacables,CABLE TIES,BLANCO,11,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6442,3,1,Sujetacables,CABLE TIES,BLANCO,14,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
574,3,1,Sujetacables,CABLE TIES,BLANCO,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4176,3,1,Sujetacables,CABLE TIES,BLANCO,5.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4177,3,1,Sujetacables,CABLE TIES,BLANCO,7.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4385,3,1,Sujetacables,CABLE TIES,BLANCO,11.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4386,3,1,Sujetacables,CABLE TIES,BLANCO,14.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6105,3,1,Sujetacables,CABLE TIES,NEGRO,11.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6138,3,1,Sujetacables,CABLE TIES,NEGRO,14.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4448,3,1,Sujetacables,CABLE TIES,NEGRO,17.75,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6104,3,1,Sujetacables,CABLE TIES,NEGRO,7 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6443,3,1,Sujetacables,CABLE TIES   12.7 mm,BLANCO,21.6875,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5246,3,1,Sujetacables,CABLE TIES   8 mm,BLANCO,21.6875,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6639,3,1,Sujetacables,CABLE TIES 75 PCS,48990,CIN75,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5245,3,1,Sujetacables,CABLE TIES 8mm,BLANCO,17 3/4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1786,3,1,Cables,CABLES MAQ SOLDAR EL,14349,CAB300,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
552,3,10,Cabo,CABO AZADA,SPAIN,45,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1950,3,10,Cabo,CABO AZADA ESPANA,,55,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
914,3,10,Cabo,CABO AZADA T/NA,1400/42,56,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1633,3,10,Cabo,CABO AZADON SPAIN,ESPANA,47,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5577,3,10,Cabo,CABO AZADON T/NA,BRAZIL,48,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2447,3,10,Cabo,CABO CARRETILLAS TRA,T/NA,756006,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5496,3,10,Cabo,CABO HACHA BELLOTA,8016,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
561,3,10,Cabo,CABO HACHA ESPANOL,,36,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
560,3,10,Cabo,CABO HACHA TRAMONTIN,TR/NA,11542/04,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
562,3,10,Cabo,CABO HACHUELA,ESPANOL,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
592,3,10,Cabo,CABO LIMA PLASTICO,,9/10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
600,3,10,Cabo,CABO LIMA PLASTICO,ROYAL,4.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
874,3,10,Cabo,CABO MACHETE,CHISPA,C/REMACH,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2152,3,10,Cabo,CABO MACHETE C/REMAC,COCODRIL,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
589,3,10,Cabo,CABO MACHETE,IDEAL,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
820,3,10,Cabo,CABO MACHETE,JIBARO,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
640,3,10,Cabo,CABO MARRON T/NA,BRAZIL,30,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
632,3,10,Cabo,CABO MARRON,ESPANA,14,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
635,3,10,Cabo,CABO MARRON,ESPANA,16,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
636,3,10,Cabo,CABO MARRON,ESPANA,18,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2541,3,10,Cabo,CABO MARRON,ESPANA,24,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
633,3,10,Cabo,CABO MARRON,MG-MD-4,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6198,3,10,Cabo,CABO MARRON,SPAIN,30,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6199,3,10,Cabo,CABO MARRON,SPAIN,36,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6299,3,10,Cabo,CABO MARRON 6/16 LB,MGMD6/16,36,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
665,3,10,Cabo,CABO MARRON T/NA,11035/42,36,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1538,3,10,Cabo,CABO MARTILLO,MGMA-1,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
580,3,10,Cabo,CABO MARTILLO,SPAIN,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2579,3,10,Cabo,CABO MARTILLO,SURTEK,CAB5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
557,3,10,Cabo,CABO PALA CURVO,ESPANA,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
564,3,10,Cabo,CABO PALA RECTO,ESPANA,47,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
556,3,10,Cabo,CABO PALA RECTO TRAM,11150/04,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
559,3,10,Cabo,CABO PALA YD,T/NA,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2592,3,10,Cabo,CABO PICO,MG-ZP-5X,C/GOMA,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
554,3,10,Cabo,CABO PICO,TRAMONTI,36,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3674,3,10,Cabo,CABO PICO BELLOTA,8017,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
